ptp4l[7346717.248]: selected /dev/ptp1 as PTP clock
ptp4l[7346717.249]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346717.249]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346718.368]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346722.368]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346722.368]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346876.368]: master offset         -2 s2 freq   +6355 path delay      2681
ptp4l[7346877.368]: master offset         10 s2 freq   +6367 path delay      2681
ptp4l[7346878.368]: master offset          3 s2 freq   +6363 path delay      2681
ptp4l[7346879.368]: master offset         -2 s2 freq   +6359 path delay      2683
ptp4l[7346880.368]: master offset          2 s2 freq   +6362 path delay      2683
ptp4l[7346881.368]: master offset         -2 s2 freq   +6359 path delay      2683
ptp4l[7346882.368]: master offset         -8 s2 freq   +6352 path delay      2682
ptp4l[7346883.368]: master offset          8 s2 freq   +6366 path delay      2682
ptp4l[7346884.368]: master offset         12 s2 freq   +6372 path delay      2680
ptp4l[7346885.368]: master offset          8 s2 freq   +6372 path delay      2680
ptp4l[7346886.368]: master offset         -4 s2 freq   +6362 path delay      2680
ptp4l[7346887.368]: master offset          6 s2 freq   +6371 path delay      2678
ptp4l[7346888.368]: master offset          9 s2 freq   +6376 path delay      2678
ptp4l[7346889.368]: master offset          2 s2 freq   +6371 path delay      2678
ptp4l[7346890.368]: master offset        -11 s2 freq   +6359 path delay      2679
ptp4l[7346891.368]: master offset         -1 s2 freq   +6366 path delay      2678
ptp4l[7346892.368]: master offset          1 s2 freq   +6367 path delay      2678
ptp4l[7346893.368]: master offset         -6 s2 freq   +6361 path delay      2678
ptp4l[7346894.368]: master offset         -5 s2 freq   +6360 path delay      2678
ptp4l[7346895.368]: master offset         10 s2 freq   +6373 path delay      2678
ptp4l[7346896.368]: master offset          3 s2 freq   +6369 path delay      2679
ptp4l[7346897.368]: master offset         -6 s2 freq   +6361 path delay      2679
ptp4l[7346898.369]: master offset         -8 s2 freq   +6357 path delay      2679
