ptp4l[7346664.276]: selected /dev/ptp0 as PTP clock
ptp4l[7346664.278]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346664.278]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346666.067]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346670.067]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346670.067]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346838.068]: master offset         -7 s2 freq  +11007 path delay      1463
ptp4l[7346839.067]: master offset         -3 s2 freq  +11009 path delay      1464
ptp4l[7346840.068]: master offset         -1 s2 freq  +11010 path delay      1464
ptp4l[7346841.068]: master offset         -3 s2 freq  +11008 path delay      1464
ptp4l[7346842.068]: master offset          4 s2 freq  +11014 path delay      1464
ptp4l[7346843.068]: master offset        -10 s2 freq  +11001 path delay      1464
ptp4l[7346844.068]: master offset         -4 s2 freq  +11004 path delay      1464
ptp4l[7346845.068]: master offset         -1 s2 freq  +11006 path delay      1464
ptp4l[7346846.067]: master offset          5 s2 freq  +11012 path delay      1465
ptp4l[7346847.068]: master offset         -3 s2 freq  +11005 path delay      1465
ptp4l[7346848.068]: master offset         -2 s2 freq  +11006 path delay      1465
ptp4l[7346849.068]: master offset          1 s2 freq  +11008 path delay      1465
ptp4l[7346850.068]: master offset          0 s2 freq  +11007 path delay      1465
ptp4l[7346851.068]: master offset         -7 s2 freq  +11000 path delay      1465
ptp4l[7346852.068]: master offset         -8 s2 freq  +10997 path delay      1465
ptp4l[7346853.068]: master offset          5 s2 freq  +11008 path delay      1465
ptp4l[7346854.068]: master offset          3 s2 freq  +11007 path delay      1465
ptp4l[7346855.068]: master offset          4 s2 freq  +11009 path delay      1465
ptp4l[7346856.068]: master offset          3 s2 freq  +11009 path delay      1465
ptp4l[7346857.068]: master offset         -6 s2 freq  +11001 path delay      1465
ptp4l[7346858.068]: master offset          8 s2 freq  +11013 path delay      1465
ptp4l[7346859.068]: master offset         -5 s2 freq  +11003 path delay      1465
ptp4l[7346860.068]: master offset        -11 s2 freq  +10995 path delay      1466
ptp4l[7346861.067]: master offset          0 s2 freq  +11003 path delay      1466
ptp4l[7346862.068]: master offset         -9 s2 freq  +10994 path delay      1466
ptp4l[7346863.067]: master offset          0 s2 freq  +11000 path delay      1466
ptp4l[7346864.068]: master offset         -3 s2 freq  +10997 path delay      1466
ptp4l[7346865.068]: master offset          8 s2 freq  +11007 path delay      1466
ptp4l[7346866.068]: master offset         -8 s2 freq  +10994 path delay      1466
ptp4l[7346867.068]: master offset         -2 s2 freq  +10997 path delay      1466
ptp4l[7346868.068]: master offset          2 s2 freq  +11001 path delay      1464
ptp4l[7346869.068]: master offset         18 s2 freq  +11017 path delay      1463
ptp4l[7346870.068]: master offset        -16 s2 freq  +10989 path delay      1463
ptp4l[7346871.068]: master offset         -4 s2 freq  +10996 path delay      1463
ptp4l[7346872.068]: master offset          0 s2 freq  +10999 path delay      1463
ptp4l[7346873.068]: master offset         -6 s2 freq  +10993 path delay      1462
ptp4l[7346874.068]: master offset          0 s2 freq  +10997 path delay      1462
ptp4l[7346875.067]: master offset          0 s2 freq  +10997 path delay      1462
ptp4l[7346876.068]: master offset          0 s2 freq  +10997 path delay      1462
ptp4l[7346877.068]: master offset          1 s2 freq  +10998 path delay      1462
ptp4l[7346878.068]: master offset         -5 s2 freq  +10992 path delay      1462
ptp4l[7346879.068]: master offset          3 s2 freq  +10999 path delay      1462
ptp4l[7346880.068]: master offset         -5 s2 freq  +10992 path delay      1462
ptp4l[7346881.068]: master offset        -23 s2 freq  +10972 path delay      1464
ptp4l[7346882.068]: master offset         -3 s2 freq  +10985 path delay      1464
ptp4l[7346883.067]: master offset         -8 s2 freq  +10979 path delay      1464
ptp4l[7346884.068]: master offset          9 s2 freq  +10994 path delay      1464
ptp4l[7346885.068]: master offset         -2 s2 freq  +10986 path delay      1464
ptp4l[7346886.068]: master offset          4 s2 freq  +10991 path delay      1464
ptp4l[7346887.068]: master offset         -2 s2 freq  +10986 path delay      1464
ptp4l[7346888.068]: master offset         -6 s2 freq  +10982 path delay      1464
ptp4l[7346889.067]: master offset         -4 s2 freq  +10982 path delay      1462
ptp4l[7346890.068]: master offset          9 s2 freq  +10994 path delay      1461
ptp4l[7346891.068]: master offset         -8 s2 freq  +10979 path delay      1461
ptp4l[7346892.068]: master offset          3 s2 freq  +10988 path delay      1462
ptp4l[7346893.068]: master offset         -2 s2 freq  +10984 path delay      1462
ptp4l[7346894.068]: master offset         -2 s2 freq  +10983 path delay      1463
ptp4l[7346895.068]: master offset         -2 s2 freq  +10983 path delay      1463
ptp4l[7346896.068]: master offset         -2 s2 freq  +10982 path delay      1463
ptp4l[7346897.068]: master offset          9 s2 freq  +10993 path delay      1462
ptp4l[7346898.068]: master offset         -8 s2 freq  +10978 path delay      1463
ptp4l[7346899.068]: master offset         -3 s2 freq  +10981 path delay      1463
ptp4l[7346900.068]: master offset          1 s2 freq  +10984 path delay      1464
ptp4l[7346901.068]: master offset         -9 s2 freq  +10974 path delay      1464
ptp4l[7346902.068]: master offset          1 s2 freq  +10982 path delay      1464
ptp4l[7346903.067]: master offset          8 s2 freq  +10989 path delay      1464
ptp4l[7346904.068]: master offset        -11 s2 freq  +10972 path delay      1464
ptp4l[7346905.068]: master offset          2 s2 freq  +10982 path delay      1464
ptp4l[7346906.068]: master offset          4 s2 freq  +10985 path delay      1463
ptp4l[7346907.067]: master offset         -2 s2 freq  +10980 path delay      1463
